225,140,52,191
225,145,53,186
226,144,53,189
223,147,61,188
225,138,58,196
225,140,56,198
225,141,59,196
227,138,52,199
223,139,62,197
224,136,60,200
229,138,53,203
225,137,60,203
224,138,58,202
226,139,53,204
226,141,54,204
228,139,53,203
229,136,54,206
228,129,55,210
225,130,55,205
226,126,54,209
227,127,54,206
224,123,59,213
228,123,56,214
225,121,59,213
228,125,50,211
226,132,61,203
231,127,49,211
227,131,57,205
226,131,57,208
226,133,56,207
230,131,55,209
225,132,63,213
225,128,63,210
232,128,51,209
225,117,63,220
227,116,59,218
232,117,52,217
222,115,60,216
228,114,56,215
231,106,52,228
229,102,54,224
228,100,52,223
228,98,53,224
229,92,55,229
229,88,53,231
231,86,53,227
232,83,52,230
230,78,54,232
232,75,52,230
228,72,57,233
228,66,56,237
232,66,52,232
235,63,50,230
231,59,53,233
233,54,50,236
230,53,55,236
235,51,49,233
231,46,54,238
231,42,56,242
234,41,51,241
229,41,57,239
229,38,60,239
232,40,53,236
237,35,48,241
231,37,53,238
232,29,52,236
227,29,63,242
225,31,68,233
231,27,58,239
230,24,59,236
229,25,60,233
232,21,57,235
230,24,59,236
232,23,59,232
228,23,58,230
235,16,51,236
233,17,54,232
228,16,65,235
229,15,63,235
228,13,64,233
230,14,60,238
228,11,64,240
230,15,61,238
233,17,59,238
232,14,61,241
235,16,58,240
239,15,53,240
238,11,58,245
241,18,55,238
245,17,54,241
246,15,53,242
245,15,59,242
247,18,59,241
247,16,60,246
247,17,63,245
246,15,64,248
245,17,63,244
249,15,67,250
249,18,65,243
247,15,70,254
254,15,61,247
254,15,66,251
250,18,74,249
254,17,72,246
251,16,76,250
259,17,64,245
257,17,74,247
260,14,73,255
267,16,62,250
270,14,59,257
271,13,60,258
269,13,66,254
273,15,61,253
275,14,61,258
275,17,64,256
278,18,60,251
280,16,57,255
279,16,63,258
280,18,60,255
278,24,69,246
281,19,64,260
279,23,69,253
289,28,55,250
291,31,54,248
289,30,63,245
289,30,62,250
291,29,58,248
292,30,53,247
291,33,57,249
298,32,49,248
294,33,54,248
292,32,65,251
297,33,54,249
299,34,51,248
296,35,54,250
295,32,52,253
298,37,50,249
296,37,49,255
292,39,51,247
289,37,59,251
286,35,59,254
288,41,56,254
290,39,52,259
286,38,56,261
287,39,58,256
283,41,64,253
282,41,66,257
287,42,57,259
285,42,58,257
287,44,57,259
285,38,60,263
289,40,54,255
289,37,55,260
289,39,52,262
286,45,58,254
