503,542,218,61
511,532,218,61
509,529,221,63
516,521,231,68
521,521,215,66
529,519,221,66
541,514,213,68
539,516,228,63
557,511,218,71
549,519,231,68
562,521,218,58
567,519,223,68
569,524,213,68
580,527,208,63
577,527,215,66
580,529,228,61
592,529,210,71
585,537,228,61
597,534,238,66
605,537,233,66
615,539,236,66
612,544,205,58
623,537,218,66
623,544,205,56
628,547,228,58
630,539,218,58
638,547,218,61
633,544,180,61
635,549,188,51
641,542,188,61
640,537,188,56
653,539,180,58
656,529,193,61
661,516,183,63
668,514,200,61
671,511,213,66
673,506,203,71
678,504,180,63
694,521,177,63
691,526,180,56
694,531,177,53
691,537,180,56
686,541,175,51
711,554,167,46
747,562,173,48
732,570,185,48
752,580,177,51
782,580,155,51
795,580,160,53
813,580,165,48
831,580,154,48
851,572,134,51
861,572,142,46
901,557,145,43
891,552,152,53
805,542,183,48
841,527,177,46
833,501,183,56
858,509,165,48
823,501,188,53
833,509,167,48
820,491,183,68
823,506,183,53
851,509,167,58
848,521,175,58
851,532,180,66
851,542,182,56
843,552,170,61
833,562,195,63
848,582,185,53
848,580,177,61
851,580,200,53
848,562,200,61
846,549,198,53
861,542,167,48
858,527,185,56
841,521,195,58
836,521,172,56
828,529,188,61
828,537,180,51
833,544,200,51
848,547,208,61
866,544,195,58
861,557,226,53
856,552,193,63
833,557,203,56
858,562,203,58
838,557,218,53
866,547,198,58
884,539,188,53
912,529,183,43
927,516,193,61
970,514,160,56
993,511,157,66
995,529,172,56
1005,544,185,58
1008,562,183,53
1021,580,177,53
1033,590,180,48
1049,582,170,51
1059,564,180,46
1084,539,180,58
1102,519,183,66
1127,504,175,66
1150,506,165,61
